id,status,grain_yield,test_weight,plant_height,maturity_time,heading_time,grain_moisture,lodging,FHB_DON,FHB_grain_INC,FHB_heading_time,Z_DON,Z_INC,ISK_Custom,Acceptability,Net_Merit,Net_Merit2
IL25-S1,Target,-0.079836929,-8.084348727,-6.394745541,2.15010327,2.611062388,0.166046862,-1.826136692,1.897572826,7.34313011,2.061159616,1.405834232,1.423706832,1.414770532,2.906354497,-96.83006858,-85.20465059
IL25-S10,Target,0.104465927,-8.54549801,-2.834074766,0.087381291,0.691530835,-0.409515324,-0.543500701,0.904546014,6.805756403,-0.01235292,0.449596227,1.294981705,0.872288966,0.646707283,-80.01260707,-77.42577794
IL25-S100,Target,0.008461775,-15.06884904,3.632810805,-1.317970053,-1.26596573,-0.198142765,0.492690183,-0.95608483,3.758742611,-0.777965172,-1.342103558,0.565085112,-0.388509223,-1.442765887,-109.7593759,-115.5304394
IL25-S101,Target,-0.070978471,-16.41962278,-0.581983709,-0.13836943,-1.274378608,-0.580054133,-0.825728102,0.708353205,7.162699837,0.361360053,0.260671801,1.380485682,0.820578742,0.288869478,-138.58577,-137.4302921
IL25-S102,Target,0.339598731,6.213382479,-0.304015101,1.025672129,1.337376287,0.167862477,-0.185928668,-0.704448405,0.353144549,0.624825717,-1.099789544,-0.250708511,-0.675249028,1.161795502,52.76993042,57.41711243
IL25-S103,Target,-0.272235448,-13.18174853,0.059236428,-0.449492011,-0.780765241,-0.024785999,-0.033508938,-1.529862838,-3.411879986,-1.639280908,-1.89462473,-1.152600911,-1.52361282,1.858768709,-94.86717403,-87.43209919
IL25-S104,Target,-0.09268485,-4.497227077,-1.167493447,-1.507480463,-0.519239478,0.581058877,0.130533031,-1.409482435,-4.021833848,-0.95040736,-1.778704076,-1.298712244,-1.53870816,2.092401508,-20.44234599,-12.07273996
IL25-S105,Target,0.001706793,-3.556164096,0.890524706,-0.558886446,0.009672899,0.640276363,0.253456993,-1.301114953,-4.758069677,-0.812763135,-1.6743513,-1.475073777,-1.574712538,1.256427361,-17.14957846,-12.12386901
IL25-S106,Target,-0.173587352,-4.269196087,1.382471283,-0.28308859,0.199686295,0.476674197,-0.019372886,-0.251112514,-1.539794473,-0.800406971,-0.663248453,-0.704152387,-0.68370042,0.365742282,-34.16211575,-32.69914663
IL25-S107,Target,-0.106118237,-2.280111475,0.598988188,-0.962351758,-1.099043091,0.562826797,0.226255932,-1.448751091,-4.423075411,-1.241968064,-1.816517941,-1.394827611,-1.605672776,1.431034705,-1.697190937,4.026947881
IL25-S108,Target,-0.117170957,-2.399534315,-0.764248388,-0.463832086,0.091004236,0.397332011,-0.054738487,-1.019708559,-3.89558362,-0.631022151,-1.403370209,-1.268469646,-1.335919928,1.948100488,-11.1032994,-3.310897455
IL25-S109,Target,-0.100349597,-5.961984639,1.236607436,-1.177527615,-0.722189207,0.245340885,0.054441413,-2.956944223,-4.138572489,-1.138255383,-3.268836826,-1.326676389,-2.297756607,2.26557535,-20.16224982,-11.09994842
IL25-S11,Target,0.234376161,-9.399755868,-3.423002843,-0.270803821,0.108857073,-0.521012613,-0.872083576,0.962040746,7.588077229,-0.890188233,0.504960944,1.482382664,0.993671804,1.133774594,-84.12816086,-79.59306248
IL25-S110,Target,-0.228926753,-2.039917917,0.609817471,-0.383976787,-0.524250589,-0.130861257,0.858265566,1.1384896,5.132510394,0.087779208,0.674872871,0.894164169,0.78451852,-2.274997759,-25.18867537,-34.2886664
IL25-S111,Target,-0.321975679,-2.101336386,0.11830094,-1.154038912,-1.05826346,-0.291331089,1.228271077,0.092250537,3.947833622,-1.262829854,-0.332606023,0.610380898,0.138887438,-1.806550697,-13.87962733,-21.10583012
IL25-S112,Target,-0.14991007,0.857792684,-1.431738901,-0.755513068,-0.301731846,-0.129610362,1.073626624,0.104378374,3.467867795,-1.071732785,-0.320927487,0.495407535,0.087240024,-1.001275749,8.345171281,4.340068283
IL25-S113,Target,-0.222351566,-1.119817396,0.533922511,-0.526102973,-0.560093865,-0.335688911,1.003867615,1.414260824,3.843623369,0.419457206,0.940427559,0.585417864,0.762922712,-2.411855981,-19.29648464,-28.94390857
IL25-S115,Target,-0.300996942,-2.673077102,0.411302879,-0.701760745,-0.312066708,-0.283832374,1.081943113,1.111494114,3.143736652,0.293686555,0.648877492,0.417763575,0.533320534,-2.193897281,-30.3557618,-39.13135092
