"","p1","p2","cross","reciprocal","cross_numb","reciprocal_numb","Heading","Height","TestWeight","Yield","DON","FDK","merit","ranking","relativeProfit"
"1","25","2","IL16-23972 x IL16-8048","IL16-8048 x IL16-23972","25 x 2","2 x 25",133.97,36.49,57.81,84.24,0.73,9.78,399.82,646,-9.95
"2","25","11","IL16-23972 x IL17-17739","IL17-17739 x IL16-23972","25 x 11","11 x 25",134.83,37.77,58.6,85.63,0.58,7.43,409.6,363,-0.17
"3","25","9","IL16-23972 x IL17-23902","IL17-23902 x IL16-23972","25 x 9","9 x 25",133.1,37.06,57.83,86.29,0.89,11.48,409.65,360,-0.12
"4","25","16","IL16-23972 x IL17-23904","IL17-23904 x IL16-23972","25 x 16","16 x 25",132.91,35.96,57.65,86,1.22,17.12,396.57,705,-13.2
"5","25","42","IL16-23972 x IL17-8620","IL17-8620 x IL16-23972","25 x 42","42 x 25",131.64,35.88,57.86,82.59,0.78,15.61,399.57,651.5,-10.2
"6","25","26","IL16-23972 x IL17-8626","IL17-8626 x IL16-23972","25 x 26","26 x 25",132.12,35.02,57.94,81.74,0.69,13.06,397.82,685,-11.95
"7","25","21","IL16-23972 x IL17-8831","IL17-8831 x IL16-23972","25 x 21","21 x 25",133.95,35.71,57.57,86.49,0.79,10.67,404.36,539,-5.41
"8","25","5","IL16-23972 x IL18-14535","IL18-14535 x IL16-23972","25 x 5","5 x 25",132.26,35.44,57.78,84.74,0.82,12.96,406.17,483.5,-3.6
"9","25","24","IL16-23972 x IL18-15372","IL18-15372 x IL16-23972","25 x 24","24 x 25",132.25,35.66,58.13,84.67,0.82,11.79,410.25,341,0.48
"10","25","36","IL16-23972 x IL18-22767","IL18-22767 x IL16-23972","25 x 36","36 x 25",133.43,36.17,57.49,86.3,0.82,11.92,403.24,574,-6.53
"11","25","12","IL16-23972 x IL18-22976","IL18-22976 x IL16-23972","25 x 12","12 x 25",134.63,37.13,57.86,87.07,0.81,12.37,407.4,438.5,-2.37
"12","25","15","IL16-23972 x IL18-23760","IL18-23760 x IL16-23972","25 x 15","15 x 25",133.96,36.2,57.99,85.72,0.8,11.05,407.69,427,-2.08
"13","25","17","IL16-23972 x IL18-4910","IL18-4910 x IL16-23972","25 x 17","17 x 25",132.76,36.26,58.46,83.27,0.57,10.36,406.52,471,-3.25
"14","25","3","IL16-23972 x IL18MSFRS-18","IL18MSFRS-18 x IL16-23972","25 x 3","3 x 25",134.52,36.36,57.91,88.57,0.7,9.41,419.68,100,9.91
"15","25","33","IL16-23972 x IL19-10123","IL19-10123 x IL16-23972","25 x 33","33 x 25",131.64,36.15,57.82,84.46,0.92,11.67,407.48,433.5,-2.29
"16","25","23","IL16-23972 x IL19-12830","IL19-12830 x IL16-23972","25 x 23","23 x 25",133.42,36.43,58.03,84.27,0.86,11.6,402.35,597,-7.42
"17","25","37","IL16-23972 x IL19-13713","IL19-13713 x IL16-23972","25 x 37","37 x 25",132.12,35.65,57.87,83.55,0.58,6.5,411.08,316,1.31
"18","25","14","IL16-23972 x IL19-13942","IL19-13942 x IL16-23972","25 x 14","14 x 25",131.13,35.72,57.78,82.44,0.64,8.59,406.76,461.5,-3.01
"19","25","7","IL16-23972 x IL19-13978","IL19-13978 x IL16-23972","25 x 7","7 x 25",131.58,35.95,57.97,82.91,0.76,10.25,406.74,465.5,-3.03
"20","25","4","IL16-23972 x IL19-14617","IL19-14617 x IL16-23972","25 x 4","4 x 25",130.96,35.96,57.78,86.16,0.95,12.1,417.03,131,7.26
"21","25","1","IL16-23972 x IL19-14856","IL19-14856 x IL16-23972","25 x 1","1 x 25",131.36,36.56,57.65,87.03,0.75,9.28,422,69,12.23
"22","25","38","IL16-23972 x IL19-15327","IL19-15327 x IL16-23972","25 x 38","38 x 25",133.32,36.83,57.51,85.39,0.74,8.52,403.64,557,-6.13
"23","25","8","IL16-23972 x IL19-18153","IL19-18153 x IL16-23972","25 x 8","8 x 25",133.3,35.37,57.85,86.09,0.74,10.46,411.55,289,1.78
"24","25","30","IL16-23972 x IL19-18837","IL19-18837 x IL16-23972","25 x 30","30 x 25",133.69,35.29,57.65,84.43,0.66,9.1,400.92,628,-8.85
"25","25","32","IL16-23972 x IL19-21760","IL19-21760 x IL16-23972","25 x 32","32 x 25",132.74,35.1,57.47,84.16,0.66,12.35,398.84,664.5,-10.93
"26","25","10","IL16-23972 x IL19-22757","IL19-22757 x IL16-23972","25 x 10","10 x 25",132.88,36.19,58.35,84.3,0.81,11.21,406.18,482,-3.59
"27","25","31","IL16-23972 x IL19-23833","IL19-23833 x IL16-23972","25 x 31","31 x 25",133.68,36.54,58.07,85.71,0.79,12.1,408.57,399,-1.2
"28","25","28","IL16-23972 x IL19-27565","IL19-27565 x IL16-23972","25 x 28","28 x 25",133.81,36.94,58.7,83.85,0.56,7.51,406.37,474,-3.4
"29","25","35","IL16-23972 x IL19-3505","IL19-3505 x IL16-23972","25 x 35","35 x 25",132.38,36.47,57.76,85.12,0.66,8.39,412.69,249,2.92
"30","25","20","IL16-23972 x IL19-3528","IL19-3528 x IL16-23972","25 x 20","20 x 25",132.37,36.71,57.75,84.72,0.69,9.29,409.72,354.5,-0.05
"31","25","19","IL16-23972 x IL19-6946","IL19-6946 x IL16-23972","25 x 19","19 x 25",132.98,35.92,57.75,85.96,1.05,13.57,403.27,573,-6.5
"32","25","6","IL16-23972 x US16-IL-061-032","US16-IL-061-032 x IL16-23972","25 x 6","6 x 25",132.84,36.71,57.75,83.89,1.1,13.81,393.57,723,-16.2
"33","25","13","IL16-23972 x US16-IL-062-031","US16-IL-062-031 x IL16-23972","25 x 13","13 x 25",131.82,35.95,58.63,85.06,0.95,11.03,412.28,262.5,2.51
"34","25","29","IL16-23972 x US16-IL-062-109","US16-IL-062-109 x IL16-23972","25 x 29","29 x 25",133.53,35.85,57.83,85.97,0.98,11.8,404.47,536,-5.3
"35","25","18","IL16-23972 x US16-IL-063-063","US16-IL-063-063 x IL16-23972","25 x 18","18 x 25",132.42,35.07,57.6,83.11,0.95,14.75,391.51,732,-18.26
"36","25","27","IL16-23972 x US16-IL-064-095","US16-IL-064-095 x IL16-23972","25 x 27","27 x 25",133.19,36.1,58.12,84.62,0.83,11.5,405.61,501,-4.16
"37","25","34","IL16-23972 x US17-IL-108-039","US17-IL-108-039 x IL16-23972","25 x 34","34 x 25",135.32,35.83,57.81,87.08,0.9,13.39,400.85,630,-8.92
"38","25","39","IL16-23972 x US17-IL-108-070","US17-IL-108-070 x IL16-23972","25 x 39","39 x 25",134.48,36.44,58.35,84.83,0.85,14.2,398.35,677,-11.42
"39","2","11","IL16-8048 x IL17-17739","IL17-17739 x IL16-8048","2 x 11","11 x 2",135.22,38.89,58.86,85.86,0.81,5.87,405.83,496,-3.94
"40","2","9","IL16-8048 x IL17-23902","IL17-23902 x IL16-8048","2 x 9","9 x 2",133.49,38.18,58.1,86.51,1.13,9.91,408.75,395,-1.02
"41","2","16","IL16-8048 x IL17-23904","IL17-23904 x IL16-8048","2 x 16","16 x 2",133.3,37.08,57.92,86.23,1.46,15.56,397.36,697,-12.41
"42","2","42","IL16-8048 x IL17-8620","IL17-8620 x IL16-8048","2 x 42","42 x 2",132.03,37,58.13,82.81,1.01,14.04,398.12,681,-11.65
